diameter,height
0.0016,0.057
0.0018,0.084
0.0018,0.221
0.0018,0.038
0.0019,0.058
0.0019,0.067
0.0019,0.034
0.0019,0.061
0.0019,0.039
0.002,0.029
0.002,0.101
0.002,0.199
0.002,0.12
0.002,0.06
0.002,0.041
0.002,0.136
0.002,0.251
0.0021,0.11
0.0021,0.279
0.0021,0.026
0.0022,0.181
0.0022,0.06
0.0022,0.392
0.0022,0.074
0.0022,0.11
0.0023,0.089
0.0023,0.046
0.0023,0.068
0.0023,0.072
0.0023,0.112
0.0023,0.176
0.0023,0.106
0.0023,0.052
0.0023,0.072
0.0023,0.045
0.0023,0.074
0.0023,0.102
0.0023,0.28
0.0023,0.243
0.0023,0.205
0.0023,0.293
0.0023,0.438
0.0023,0.368
0.0023,0.087
0.0023,0.127
0.0023,0.103
0.0023,0.056
0.0023,0.061
0.0023,0.248
0.0023,0.162
0.0023,0.33
0.0024,0.06
0.0024,0.151
0.0024,0.121
0.0024,0.291
0.0024,0.238
0.0024,0.331
0.0024,0.092
0.0024,0.092
0.0024,0.117
0.0024,0.09
0.0024,0.187
0.0024,0.153
0.0025,0.123
0.0025,0.121
0.0025,0.139
0.0025,0.175
0.0025,0.202
0.0025,0.306
0.0025,0.231
0.0025,0.209
0.0025,0.059
0.0025,0.098
0.0025,0.044
0.0025,0.068
0.0025,0.205
0.0025,0.101
0.0025,0.261
0.0025,0.225
0.0025,0.319
0.0025,0.343
0.0025,0.044
0.0025,0.044
0.0025,0.013
0.0025,0.09
0.0025,0.294
0.0025,0.202
0.0025,0.194
0.0025,0.192
0.0025,0.154
0.0025,0.096
0.0026,0.207
0.0026,0.128
0.0026,0.109
0.0026,0.087
0.0026,0.195
0.0026,0.395
0.0026,0.086
0.0026,0.071
0.0026,0.073
0.0026,0.1
0.0026,0.083
0.0026,0.038
0.0026,0.026
0.0026,0.222
0.0026,0.262
0.0026,0.296
0.0026,0.146
0.0026,0.072
0.0026,0.115
0.0026,0.076
0.0026,0.096
0.0026,0.266
0.0027,0.131
0.0027,0.064
0.0027,0.153
0.0027,0.38
0.0027,0.03
0.0027,0.229
0.0027,0.222
0.0027,0.208
0.0027,0.233
0.0027,0.297
0.0027,0.331
0.0027,0.29
0.0027,0.223
0.0028,0.074
0.0028,0.103
0.0028,0.137
0.0028,0.109
0.0028,0.161
0.0028,0.137
0.0028,0.133
0.0028,0.153
0.0028,0.04
0.0028,0.128
0.0028,0.12
0.0028,0.111
0.0028,0.099
0.0028,0.044
0.0028,0.178
0.0028,0.241
0.0028,0.128
0.0028,0.225
0.0028,0.211
0.0028,0.34
0.0028,0.25
0.0028,0.204
0.0028,0.062
0.0028,0.115
0.0028,0.143
0.0028,0.223
0.0028,0.072
0.0028,0.156
0.0028,0.164
0.0028,0.272
0.0028,0.439
0.0028,0.379
0.0028,0.255
0.0028,0.455
0.0028,0.296
0.0028,0.393
0.0028,0.095
0.0028,0.091
0.0028,0.051
0.0028,0.243
0.0028,0.308
0.0028,0.301
0.0028,0.186
0.0029,0.091
0.0029,0.294
0.0029,0.43
0.0029,0.176
0.0029,0.152
0.0029,0.169
0.0029,0.111
0.0029,0.193
0.0029,0.371
0.0029,0.221
0.0029,0.431
0.0029,0.481
0.0029,0.138
0.0029,0.107
0.0029,0.142
0.0029,0.278
0.0029,0.246
0.0029,0.185
0.0029,0.374
0.0029,0.516
0.0029,0.331
0.0029,0.161
0.0029,0.145
0.0029,0.133
0.0029,0.229
0.0029,0.112
0.0029,0.215
0.003,0.213
0.003,0.201
0.003,0.202
0.003,0.114
0.003,0.081
0.003,0.152
0.003,0.132
0.003,0.137
0.003,0.124
